iter	Passed	Remaining
591	4290	2957
592	4298	2950
593	4305	2942
594	4312	2935
595	4319	2928
596	4327	2920
597	4335	2914
598	4341	2906
599	4349	2899
600	4355	2891
601	4363	2884
602	4370	2877
603	4376	2869
604	4384	2862
605	4391	2854
606	4398	2847
607	4405	2840
608	4413	2833
609	4420	2826
610	4427	2818
611	4434	2811
612	4441	2804
613	4448	2796
614	4455	2789
615	4462	2782
616	4469	2774
617	4476	2766
618	4483	2759
619	4490	2751
620	4497	2744
621	4504	2737
622	4511	2729
623	4518	2722
624	4524	2714
625	4532	2707
626	4538	2700
627	4546	2693
628	4553	2685
629	4560	2678
630	4566	2670
631	4573	2663
632	4581	2656
633	4587	2648
634	4594	2641
635	4601	2633
636	4608	2626
637	4615	2618
638	4622	2611
639	4629	2604
640	4636	2596
641	4643	2589
642	4650	2581
643	4656	2574
644	4664	2567
645	4670	2559
646	4677	2552
647	4684	2544
648	4691	2537
649	4697	2529
650	4704	2522
651	4711	2514
652	4718	2507
653	4725	2500
654	4732	2492
655	4739	2485
656	4746	2478
657	4753	2470
658	4761	2463
659	4767	2456
660	4774	2448
661	4781	2441
662	4788	2433
663	4795	2426
664	4802	2419
665	4811	2412
666	4817	2405
667	4825	2398
668	4831	2390
669	4838	2383
670	4845	2375
671	4852	2368
672	4859	2361
673	4866	2353
674	4873	2346
675	4879	2338
676	4886	2331
677	4893	2324
678	4900	2316
679	4907	2309
680	4914	2301
681	4921	2294
682	4927	2287
683	4934	2279
684	4941	2272
685	4948	2265
686	4955	2257
687	4962	2250
688	4968	2242
689	4975	2235
690	4982	2227
691	4988	2220
692	4996	2213
693	5003	2205
694	5009	2198
695	5015	2190
696	5023	2183
697	5029	2176
698	5036	2168
699	5042	2161
700	5049	2153
701	5056	2146
702	5063	2139
703	5070	2132
704	5077	2124
705	5084	2117
706	5096	2112
707	5103	2104
708	5110	2097
709	5116	2090
710	5123	2082
711	5130	2075
712	5137	2068
713	5144	2060
714	5151	2053
715	5157	2045
716	5163	2038
717	5171	2030
718	5177	2023
719	5184	2016
720	5191	2008
721	5197	2001
722	5204	1994
723	5211	1986
724	5218	1979
725	5225	1972
726	5232	1964
727	5239	1957
728	5245	1950
729	5253	1942
730	5259	1935
731	5266	1928
732	5272	1920
733	5279	1913
734	5286	1906
735	5293	1898
736	5300	1891
737	5306	1884
738	5313	1876
739	5320	1869
740	5326	1861
741	5333	1854
742	5340	1847
743	5347	1840
744	5354	1832
745	5360	1825
746	5367	1818
747	5374	1810
748	5381	1803
749	5387	1795
750	5394	1788
751	5401	1781
752	5408	1774
753	5415	1766
754	5421	1759
755	5428	1752
756	5435	1744
757	5441	1737
758	5449	1730
759	5455	1722
760	5462	1715
761	5469	1708
762	5475	1700
763	5482	1693
